#    object_id           flux              mu            shear.g1         shear.g2       image_pos.x      image_pos.y       halo_mass        halo_conc      halo_redshift   
              15   4.87069664e+01   1.00849970e+00   4.64118823e-03   8.01425652e-03   3.70621501e+03   4.06518510e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
              16   4.87069664e+01   1.00501622e+00  -3.54625505e-03   7.82084446e-03   4.43264675e+03   2.99718656e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
              17   4.87069664e+01   9.68132561e-01   5.27088355e-03  -2.21654735e-02   2.59360218e+03   1.39283675e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
              18   4.87069664e+01   9.97755871e-01   1.93361588e-02  -4.93886633e-03   3.77475927e+03   4.77477709e+01   7.00000000e+14   4.00000000e+00   2.50000000e-01
              19   4.87069664e+01   9.94506898e-01  -2.69131492e-02  -5.49197925e-04   1.91590779e+03   3.51901870e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              21   4.87069664e+01   1.00402992e+00  -1.55088000e-02   4.95907934e-03   5.40395094e+03   4.46079750e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              23   4.87069664e+01   1.01036609e+00  -6.85802181e-03  -5.87367139e-03   3.00100240e+03   1.36607076e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              24   4.87069664e+01   1.04125407e+00   2.68861192e-03   2.99636937e-03   2.79276896e+03   2.80564524e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              25   4.87069664e+01   9.73576398e-01  -1.09780162e-02   3.26724186e-03   1.47795706e+03   2.69174005e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              26   4.87069664e+01   1.02219458e+00   7.33351012e-03   7.56829853e-03   3.84359886e+03   4.07364569e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
              27   4.87069664e+01   1.03442634e+00  -1.07335787e-03   1.05560238e-02   3.70967430e+03   2.62583994e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              28   4.87069664e+01   1.01829521e+00   1.02964902e-02   1.24363864e-03   3.56252579e+03   3.84293288e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              29   4.87069664e+01   9.57294042e-01   9.15589503e-04   1.16428520e-02   1.42364199e+03   3.10599419e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
              30   4.87069664e+01   9.72288896e-01   6.35762182e-03   9.98255936e-03   1.59950213e+03   3.59174452e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
              33   4.87069664e+01   9.90737526e-01   5.33371590e-03  -3.41404027e-05   5.79397117e+03   4.51748229e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
              34   4.87069664e+01   9.99144738e-01   1.33433909e-02  -1.79686552e-03   4.84743338e+03   3.98037971e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              36   4.87069664e+01   1.07512658e+00   1.09868863e-02   1.10387363e-02   4.35546767e+03   2.24150058e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              37   4.87069664e+01   1.06554891e+00  -1.38938768e-03  -2.38242142e-04   4.07024441e+03   3.19037976e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              39   4.87069664e+01   1.03568819e+00   4.46643307e-04   4.69919895e-03   2.84729311e+03   2.97441966e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              41   4.87069664e+01   1.02034688e+00   8.95826695e-03   3.93972506e-03   4.67237755e+03   3.57170385e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              42   4.87069664e+01   1.04127461e+00   1.88815579e-02  -8.11673669e-03   4.64110231e+03   4.07038272e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
