#    object_id           flux              mu            shear.g1         shear.g2       image_pos.x      image_pos.y       halo_mass        halo_conc      halo_redshift   
              28   4.87069664e+01   1.04455586e+00  -8.47197174e-03  -4.85021963e-03   3.61575722e+03   4.20140896e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              33   4.87069664e+01   9.90760700e-01   9.92450542e-03  -1.60229721e-02   6.34208099e+03   5.74916072e+01   7.00000000e+14   4.00000000e+00   2.50000000e-01
              34   4.87069664e+01   1.01404547e+00  -9.71468764e-03   6.78798067e-03   5.18562416e+03   4.36909929e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              36   4.87069664e+01   1.06444105e+00   1.16811918e-02   3.42258071e-03   4.58455163e+03   2.24471310e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              37   4.87069664e+01   1.04166091e+00   1.16038476e-02  -1.28476461e-02   4.23607394e+03   3.40408319e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              39   4.87069664e+01   1.03724767e+00   3.85615925e-03   9.44376667e-03   2.74190498e+03   3.14026366e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              41   4.87069664e+01   9.83622160e-01   9.14401915e-03   3.46058625e-03   4.97174463e+03   3.86984172e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              46   4.87069664e+01   1.05978152e+00   2.75873046e-02   1.99893856e-02   5.13019722e+03   8.74610238e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
              47   4.87069664e+01   1.00460636e+00  -1.65533106e-04  -3.04587055e-03   3.39202409e+03   8.04121717e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
              49   4.87069664e+01   1.06397769e+00   1.87339252e-02   1.67390954e-02   5.17686702e+03   1.06094398e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              52   4.87069664e+01   1.03355143e+00   4.85841680e-03  -1.78024151e-03   3.46838132e+03   3.91653522e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              53   4.87069664e+01   1.05755373e+00  -5.41054013e-03  -1.74780297e-02   2.50722395e+03   1.80716489e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              55   4.87069664e+01   9.94450511e-01   2.45003618e-03   2.91529050e-03   2.78225564e+03   8.14637407e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
              56   4.87069664e+01   1.01795319e+00  -2.31443554e-02  -8.35460760e-03   1.22807921e+02   3.66365781e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              58   4.87069664e+01   1.00384256e+00   1.64341943e-02   4.60798020e-03   3.96633626e+03   7.33335177e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
              59   4.87069664e+01   9.55056052e-01   3.75432507e-03  -1.47249494e-02   2.64343979e+03   3.87631802e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
              60   4.87069664e+01   9.90378341e-01   3.85778022e-03  -3.98006924e-03   5.90624557e+03   6.91214926e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
              61   4.87069664e+01   1.03785213e+00  -3.65404297e-03   1.02721334e-02   2.87594084e+03   3.44101945e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              62   4.87069664e+01   9.88582637e-01   4.17276204e-03  -5.35887790e-03   5.81667680e+03   6.65857807e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
              65   4.87069664e+01   1.01166316e+00  -1.30221281e-02   2.03018533e-03   2.24653027e+03   3.62611699e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              66   4.87069664e+01   9.98413435e-01   1.53615985e-03  -6.72364585e-03   6.44455012e+03   3.90172572e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
              67   4.87069664e+01   1.00426218e+00  -3.37376298e-04   4.85536894e-03   3.57690931e+03   5.50726377e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
              68   4.87069664e+01   1.01585297e+00   2.21244447e-02   4.79296235e-03   5.06199500e+03   3.23504403e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
